ConfigID;Seleccion;Crossover;Mutacion;Supervivencia;PopSize;MaxGen;Run;BestFitness;TimeMS
Tournament_Size_1+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;1;1,00;10
Tournament_Size_1+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;2;0,88;9
Tournament_Size_1+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;3;0,99;8
Tournament_Size_1+OrderCrossover+ReversalMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;OrderCrossover;ReversalMutation;SteadyStateSurvivorSelection;200;2000;4;1,23;13
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;200;2000;1;0,33;9
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;200;2000;2;0,34;7
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;200;2000;3;0,58;4
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+FullGenReplacement+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;FullGenReplacement;200;2000;4;0,45;6
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;1;0,93;13
Tournament_Size_1+PartiallyMappedCrossover+SwapMutation+SteadyStateSurvivorSelection+P200;Tournament_Size_1;PartiallyMappedCrossover;SwapMutation;SteadyStateSurvivorSelection;200;2000;2;1,12;13
